1,0,0,5
2,0,5,5
3,5,5,5
4,5,5,5
5,5,5,5
6,5,5,5
7,5,5,5
8,5,5,5
9,5,5,10
10,5,10,10
11,10,10,10
12,10,10,10
13,10,10,20
14,10,20,20
15,20,20,20
16,20,20,20
17,20,20,20
18,20,20,30
19,20,30,30
20,30,30,40
21,30,40,40
22,40,40,40
23,40,40,30
24,40,30,30
25,30,30,20
26,30,20,20
27,20,20,20
28,20,20,20
29,20,20,20
30,20,20,20
31,20,20,30
32,20,30,30
33,30,30,30
34,30,30,20
35,30,20,20
36,20,20,20
37,20,20,20
38,20,20,20
39,20,20,10
40,20,10,10
41,10,10,20
42,10,20,20
43,20,20,20
44,20,20,20
45,20,20,20
46,20,20,20
47,20,20,20
48,20,20,20
49,20,20,10
50,20,10,10
51,10,10,10
52,10,10,10
53,10,10,10
54,10,10,10
55,10,10,10
56,10,10,10
57,10,10,20
58,10,20,30
59,20,30,30
60,30,30,30
61,30,30,20
62,30,20,20
63,20,20,20
64,20,20,20
65,20,20,20
66,20,20,20
67,20,20,20
68,20,20,20
69,20,20,20
70,20,20,20
71,20,20,20
72,20,20,20
73,20,20,20
74,20,20,20
75,20,20,20
76,20,20,30
77,20,30,30
78,30,30,30
79,30,30,30
80,30,30,30
81,30,30,30
82,30,30,30
83,30,30,30
84,30,30,30
85,30,30,30
86,30,30,20
87,30,20,20
88,20,20,20
89,20,20,30
90,20,30,30
91,30,30,30
92,30,30,20
93,30,20,20
94,20,20,20
95,20,20,30
96,20,30,30
97,30,30,30
98,30,30,30
99,30,30,30
100,30,30,30
101,30,30,30
102,30,30,30
103,30,30,30
104,30,30,30
105,30,30,20
106,30,20,20
107,20,20,20
108,20,20,20
109,20,20,20
110,20,20,20
111,20,20,20
112,20,20,20
113,20,20,20
114,20,20,40
115,20,40,40
116,40,40,40
117,40,40,20
118,40,20,20
119,20,20,20
120,20,20,10
121,20,10,10
122,10,10,10
123,10,10,10
124,10,10,10
125,10,10,10
126,10,10,10
127,10,10,10
128,10,10,10
129,10,10,20
130,10,20,20
131,20,20,20
132,20,20,20
133,20,20,20
134,20,20,20
135,20,20,20
136,20,20,20
137,20,20,20
138,20,20,20
139,20,20,20
140,20,20,10
141,20,10,10
142,10,10,10
143,10,10,10
144,10,10,10
1,10,10,5
2,10,5,5
3,5,5,5
4,5,5,5
5,5,5,5
6,5,5,5
7,5,5,10
8,5,10,10
9,10,10,10
10,10,10,10
11,10,10,30
12,10,30,30
13,30,30,40
14,30,40,40
15,40,40,40
16,40,40,40
17,40,40,40
18,40,40,50
19,40,50,50
20,50,50,50
21,50,50,50
22,50,50,50
23,50,50,50
24,50,50,50
25,50,50,50
26,50,50,50
27,50,50,30
28,50,30,30
29,30,30,30
30,30,30,20
31,30,20,20
32,20,20,20
33,20,20,30
34,20,30,40
35,30,40,40
36,40,40,40
37,40,40,30
38,40,30,30
39,30,30,20
40,30,20,20
41,20,20,20
42,20,20,20
43,20,20,20
44,20,20,20
45,20,20,30
46,20,30,40
47,30,40,40
48,40,40,40
49,40,40,40
50,40,40,40
51,40,40,30
52,40,30,30
53,30,30,30
54,30,30,20
55,30,20,30
56,20,30,30
57,30,30,30
58,30,30,20
59,30,20,20
60,20,20,20
61,20,20,20
62,20,20,20
63,20,20,30
64,20,30,30
65,30,30,30
66,30,30,30
67,30,30,30
68,30,30,30
69,30,30,30
70,30,30,30
71,30,30,20
72,30,20,20
73,20,20,20
74,20,20,20
75,20,20,20
76,20,20,20
77,20,20,20
78,20,20,20
79,20,20,20
80,20,20,30
81,20,30,40
82,30,40,40
83,40,40,40
84,40,40,40
85,40,40,40
86,40,40,40
87,40,40,40
88,40,40,40
89,40,40,40
90,40,40,30
91,40,30,20
92,30,20,30
93,20,30,30
94,30,30,30
95,30,30,30
96,30,30,30
97,30,30,30
98,30,30,30
99,30,30,30
100,30,30,40
101,30,40,40
102,40,40,40
103,40,40,40
104,40,40,40
105,40,40,40
106,40,40,40
107,40,40,40
108,40,40,30
109,40,30,30
110,30,30,30
111,30,30,30
112,30,30,30
113,30,30,30
114,30,30,30
115,30,30,30
116,30,30,30
117,30,30,20
118,30,20,20
119,20,20,20
120,20,20,20
121,20,20,20
122,20,20,20
123,20,20,20
124,20,20,20
125,20,20,5
126,20,5,5
127,5,5,-1
128,5,-1,-1
129,-1,-1,-1
130,-1,-1,-1
131,-1,-1,-1
132,-1,-1,-1
133,-1,-1,-1
134,-1,-1,-1
135,-1,-1,-1
136,-1,-1,-1
137,-1,-1,-1
